No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
50,David Robinson,C,7-1,235,August 6 1965,us,13,United States Naval Academy,robinda01
31,Malik Rose,PF,6-7,250,November 23 1974,us,6,Drexel,rosema01
8,Steve Smith,SG,6-7,200,March 31 1969,us,11,Michigan State,smithst01
42,Kevin Willis,C,7-0,220,September 6 1962,us,17,Michigan State,willike02
8,Kobe Bryant,SG,6-6,212,August 23 1978,us,5,,bryanko01
11,Joe Crispin,PG,6-0,185,July 18 1979,us,R,Penn State,crispjo01
2,Derek Fisher,PG,6-1,200,August 9 1974,us,5,Little Rock,fishede01
17,Rick Fox,SF,6-7,230,July 24 1969,ca,10,UNC,foxri01
3,Devean George,SF,6-8,220,August 29 1977,us,2,Augsburg College,georgde01
5,Robert Horry,PF,6-10,240,August 25 1970,us,9,Alabama,horryro01
10,Lindsey Hunter,PG,6-2,170,December 3 1970,us,8,Alcorn State Jackson State University,hunteli01
35,Mark Madsen,PF,6-9,240,January 28 1976,us,1,Stanford,madsema01
6,Jelani McCoy,C,6-10,245,December 6 1977,us,3,UCLA,mccoyje01
14,Stanislav Medvedenko,C,6-10,250,April 4 1979,ua,1,,medvest01
34,Shaquille O'Neal,C,7-1,325,March 6 1972,us,9,LSU,onealsh01
12,Mike Penberthy,PG,6-3,185,November 29 1974,us,1,Master's College,penbemi01
23,Mitch Richmond,SG,6-5,215,June 30 1965,us,13,Kansas State,richmmi01
20,Brian Shaw,PG,6-6,190,March 22 1966,us,12,Saint Mary's UC Santa Barbara,shawbr01
52,Samaki Walker,PF,6-9,240,February 25 1976,us,5,Louisville,walkesa01
8,Kobe Bryant,SG,6-6,212,August 23 1978,us,4,,bryanko01
2,Derek Fisher,PG,6-1,200,August 9 1974,us,4,Little Rock,fishede01
40,Greg Foster,C,6-11,240,October 3 1968,us,10,UCLA Texas-El Paso,fostegr01
17,Rick Fox,SF,6-7,230,July 24 1969,ca,9,UNC,foxri01
3,Devean George,SF,6-8,220,August 29 1977,us,1,Augsburg College,georgde01
54,Horace Grant,PF,6-10,215,July 4 1965,us,13,Clemson,grantho01
4,Ron Harper,PG,6-6,185,January 20 1964,us,14,Miami University,harpero01
5,Robert Horry,PF,6-10,240,August 25 1970,us,8,Alabama,horryro01
10,Tyronn Lue,PG,6-0,175,May 3 1977,us,2,Nebraska,luety01
35,Mark Madsen,PF,6-9,240,January 28 1976,us,R,Stanford,madsema01
14,Stanislav Medvedenko,PF,6-10,250,April 4 1979,ua,R,,medvest01
34,Shaquille O'Neal,C,7-1,325,March 6 1972,us,8,LSU,onealsh01
12,Mike Penberthy,PG,6-3,185,November 29 1974,us,R,Master's College,penbemi01
7,Isaiah Rider,SG,6-5,215,March 12 1971,us,7,UNLV,rideris01
20,Brian Shaw,SG,6-6,190,March 22 1966,us,11,Saint Mary's UC Santa Barbara,shawbr01
8,Kobe Bryant,SG,6-6,212,August 23 1978,us,3,,bryanko01
11,John Celestand,PG,6-4,178,March 6 1977,us,R,Villanova,celesjo01
2,Derek Fisher,PG,6-1,200,August 9 1974,us,3,Little Rock,fishede01
17,Rick Fox,SF,6-7,230,July 24 1969,ca,8,UNC,foxri01
3,Devean George,SF,6-8,220,August 29 1977,us,R,Augsburg College,georgde01
45,A.C. Green,PF,6-9,220,October 4 1963,us,14,Oregon State,greenac01
4,Ron Harper,PG,6-6,185,January 20 1964,us,13,Miami University,harpero01
5,Robert Horry,PF,6-10,240,August 25 1970,us,7,Alabama,horryro01
7,Sam Jacobson,PG,6-4,215,July 22 1975,us,1,Minnesota,jacobsa01
40,Travis Knight,C,7-0,235,September 13 1974,us,3,UConn,knightr01
10,Tyronn Lue,PG,6-0,175,May 3 1977,us,1,Nebraska,luety01
34,Shaquille O'Neal,C,7-1,325,March 6 1972,us,7,LSU,onealsh01
41,Glen Rice,SF,6-8,215,May 28 1967,us,10,Michigan,ricegl01
16,John Salley,C,6-11,230,May 16 1964,us,10,Georgia Tech,sallejo01
20,Brian Shaw,SG,6-6,190,March 22 1966,us,10,Saint Mary's UC Santa Barbara,shawbr01
33,Antonio Daniels,PG,6-4,195,March 19 1975,us,1,Bowling Green,daniean01
21,Tim Duncan,PF,6-11,250,April 25 1976,vi,1,Wake Forest,duncati01
17,Mario Elie,SG,6-5,210,November 26 1963,us,8,American International College,eliema01
32,Sean Elliott,SF,6-8,205,February 2 1968,us,9,Arizona,elliose01
10,Andrew Gaze,SG,6-7,205,July 24 1965,au,1,Seton Hall,gazean01
2,Jaren Jackson,SG,6-4,190,October 27 1967,us,8,Georgetown,jacksja01
6,Avery Johnson,PG,5-10,175,March 25 1965,us,10,Cameron University Southern University and A&M College,johnsav01
4,Steve Kerr,PG,6-3,175,September 27 1965,lb,10,Arizona,kerrst01
25,Jerome Kersey,SF,6-7,215,June 26 1962,us,14,Longwood University,kerseje01
54,Gerard King,SF,6-9,230,November 25 1972,us,R,Nicholls State,kingge02
41,Will Perdue,C,7-0,240,August 29 1965,us,10,Vanderbilt,perduwi01
50,David Robinson,C,7-1,235,August 6 1965,us,9,United States Naval Academy,robinda01
31,Malik Rose,PF,6-7,250,November 23 1974,us,2,Drexel,rosema01
11,Brandon Williams,SG,6-6,215,February 27 1975,us,1,Davidson,willibr01
22,Keith Booth,SF,6-6,226,October 9 1974,us,R,Maryland,boothke01
1,Randy Brown,PG,6-2,190,May 22 1968,us,6,Houston New Mexico State,brownra02
30,Jud Buechler,SF,6-6,220,June 19 1968,us,7,Arizona,buechju01
24,Scott Burrell,SF,6-7,218,January 12 1971,us,4,UConn,burresc01
35,Jason Caffey,PF,6-8,255,June 12 1973,us,2,Alabama,caffeja01
9,Ron Harper,PG,6-6,185,January 20 1964,us,11,Miami University,harpero01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,12,UNC,jordami01
25,Steve Kerr,PG,6-3,175,September 27 1965,lb,9,Arizona,kerrst01
53,Joe Kleine,C,6-11,255,January 4 1962,us,12,Notre Dame Arkansas,kleinjo01
7,Toni Kukoč,SF,6-10,192,September 18 1968,hr,4,,kukocto01
5,Rusty LaRue,PG,6-2,210,December 10 1973,us,R,Wake Forest,larueru01
13,Luc Longley,C,7-2,265,January 19 1969,au,6,New Mexico,longllu01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,10,University of Central Arkansas,pippesc01
91,Dennis Rodman,PF,6-7,210,May 13 1961,us,11,Southeastern Oklahoma State University,rodmade01
8,Dickey Simpkins,PF,6-9,248,April 6 1972,us,3,Providence,simpkdi01
42,David Vaughn,PF,6-9,240,March 23 1973,us,2,Memphis,vaughda02
34,Bill Wennington,C,7-0,245,April 26 1963,ca,10,St. John's,wennibi01
1,Randy Brown,PG,6-2,190,May 22 1968,us,5,Houston New Mexico State,brownra02
30,Jud Buechler,SF,6-6,220,June 19 1968,us,6,Arizona,buechju01
35,Jason Caffey,PF,6-8,255,June 12 1973,us,1,Alabama,caffeja01
18,Bison Dele,C,6-9,235,April 6 1969,us,5,Maryland Arizona,delebi01
9,Ron Harper,PG,6-6,185,January 20 1964,us,10,Miami University,harpero01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,11,UNC,jordami01
25,Steve Kerr,PG,6-3,175,September 27 1965,lb,8,Arizona,kerrst01
7,Toni Kukoč,SF,6-10,192,September 18 1968,hr,3,,kukocto01
13,Luc Longley,C,7-2,265,January 19 1969,au,5,New Mexico,longllu01
00,Robert Parish,C,7-1,230,August 30 1953,us,20,Centenary (LA),parisro01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,9,University of Central Arkansas,pippesc01
91,Dennis Rodman,PF,6-7,210,May 13 1961,us,10,Southeastern Oklahoma State University,rodmade01
8,Dickey Simpkins,PF,6-9,248,April 6 1972,us,2,Providence,simpkdi01
6,Matt Steigenga,SF,6-7,225,March 27 1970,us,R,Michigan State,steigma01
34,Bill Wennington,C,7-0,245,April 26 1963,ca,9,St. John's,wennibi01
0,Randy Brown,PG,6-2,190,May 22 1968,us,4,Houston New Mexico State,brownra02
30,Jud Buechler,SF,6-6,220,June 19 1968,us,5,Arizona,buechju01
35,Jason Caffey,PF,6-8,255,June 12 1973,us,R,Alabama,caffeja01
53,James Edwards,C,7-0,225,November 22 1955,us,18,Washington,edwarja01
54,Jack Haley,C,6-10,240,January 27 1964,us,6,UCLA,haleyja01
9,Ron Harper,PG,6-6,185,January 20 1964,us,9,Miami University,harpero01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,10,UNC,jordami01
25,Steve Kerr,PG,6-3,175,September 27 1965,lb,7,Arizona,kerrst01
7,Toni Kukoč,SF,6-10,192,September 18 1968,hr,2,,kukocto01
13,Luc Longley,C,7-2,265,January 19 1969,au,4,New Mexico,longllu01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,8,University of Central Arkansas,pippesc01
91,Dennis Rodman,PF,6-7,210,May 13 1961,us,9,Southeastern Oklahoma State University,rodmade01
22,John Salley,PF,6-11,230,May 16 1964,us,9,Georgia Tech,sallejo01
8,Dickey Simpkins,PF,6-9,248,April 6 1972,us,1,Providence,simpkdi01
34,Bill Wennington,C,7-0,245,April 26 1963,ca,8,St. John's,wennibi01
15,Tim Breaux,SF,6-7,215,September 19 1970,us,R,Wyoming,breauti01
1,Scott Brooks,PG,5-11,165,July 31 1965,us,6,TCU University of California Irvine,brooksc01
52,Chucky Brown,SF,6-7,214,February 29 1968,us,5,NC State,brownch01
44,Adrian Caldwell,PF,6-8,265,July 4 1966,us,2,SMU Lamar,caldwad01
10,Sam Cassell,PG,6-3,185,November 18 1969,us,1,Florida State,cassesa01
32,Pete Chilcutt,PF,6-10,230,September 14 1968,us,3,UNC,chilcpe01
22,Clyde Drexler,SG,6-7,210,June 22 1962,us,11,Houston,drexlcl01
17,Mario Elie,SF,6-5,210,November 26 1963,us,4,American International College,eliema01
7,Carl Herrera,PF,6-9,215,December 14 1966,tt,3,Jacksonville College Houston,herreca01
25,Robert Horry,PF,6-10,240,August 25 1970,us,2,Alabama,horryro01
27,Charles Jones,PF,6-9,215,April 3 1957,us,11,Albany State University,jonesch01
11,Vernon Maxwell,SG,6-4,180,September 12 1965,us,6,Florida,maxweve01
31,Tracy Murray,SF,6-7,225,July 25 1971,us,2,UCLA,murratr01
34,Hakeem Olajuwon,C,7-0,255,January 21 1963,ng,10,Houston,olajuha01
30,Kenny Smith,PG,6-3,170,March 8 1965,us,7,UNC,smithke01
55,Žan Tabak,C,7-0,245,June 15 1970,hr,R,,tabakza01
33,Otis Thorpe,PF,6-9,225,August 5 1962,us,10,Providence,thorpot01
1,Scott Brooks,PG,5-11,165,July 31 1965,us,5,TCU University of California Irvine,brooksc01
50,Matt Bullard,PF,6-10,215,June 5 1967,us,3,Colorado Iowa,bullama01
10,Sam Cassell,PG,6-3,185,November 18 1969,us,R,Florida State,cassesa01
35,Earl Cureton,PF,6-9,210,September 3 1957,us,10,Robert Morris University (PA) Detroit Mercy,curetea01
17,Mario Elie,SF,6-5,210,November 26 1963,us,3,American International College,eliema01
7,Carl Herrera,PF,6-9,215,December 14 1966,tt,2,Jacksonville College Houston,herreca01
25,Robert Horry,SF,6-10,240,August 25 1970,us,1,Alabama,horryro01
21,Chris Jent,SF,6-7,220,January 11 1970,us,R,Ohio State,jentch01
11,Vernon Maxwell,SG,6-4,180,September 12 1965,us,5,Florida,maxweve01
34,Hakeem Olajuwon,C,7-0,255,January 21 1963,ng,9,Houston,olajuha01
3,Richard Petruška,C,6-10,260,January 25 1969,sk,R,Loyola Marymount UCLA,petruri01
42,Eric Riley,C,7-0,245,June 2 1970,us,R,Michigan,rileyer01
20,Larry Robinson,SG,6-3,180,January 11 1968,us,3,Centenary (LA),robinla01
30,Kenny Smith,PG,6-3,170,March 8 1965,us,6,UNC,smithke01
33,Otis Thorpe,PF,6-9,225,August 5 1962,us,9,Providence,thorpot01
10,B.J. Armstrong,PG,6-2,175,September 9 1967,us,3,Iowa,armstbj01
17,Ricky Blanton,SF,6-7,215,April 21 1966,us,R,LSU,blantri01
24,Bill Cartwright,C,7-1,245,July 30 1957,us,12,San Francisco,cartwbi01
40,Joe Courtney,PF,6-8,235,October 17 1969,us,R,Mississippi State Southern Miss,courtjo01
3,Jo Jo English,SG,6-4,195,February 4 1970,de,R,South Carolina,englijo01
54,Horace Grant,PF,6-10,215,July 4 1965,us,5,Clemson,grantho01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,8,UNC,jordami01
21,Stacey King,C,6-11,230,January 29 1967,us,3,Oklahoma,kingst01
22,Rodney McCray,SF,6-7,220,August 29 1961,us,9,Louisville,mccraro01
45,Ed Nealy,PF,6-7,238,February 19 1960,us,9,Kansas State,nealyed01
5,John Paxson,PG,6-2,185,September 29 1960,us,9,Notre Dame,paxsojo01
32,Will Perdue,C,7-0,240,August 29 1965,us,4,Vanderbilt,perduwi01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,5,University of Central Arkansas,pippesc01
6,Trent Tucker,SG,6-5,193,December 20 1959,us,10,Minnesota,tucketr01
20,Darrell Walker,PG,6-4,180,March 9 1961,us,9,Arkansas,walkeda01
12,Corey Williams,PG,6-2,190,April 24 1970,us,R,Oklahoma State,willico01
42,Scott Williams,PF,6-10,230,March 21 1968,us,2,UNC,willisc01
10,B.J. Armstrong,PG,6-2,175,September 9 1967,us,2,Iowa,armstbj01
24,Bill Cartwright,C,7-1,245,July 30 1957,us,11,San Francisco,cartwbi01
54,Horace Grant,PF,6-10,215,July 4 1965,us,4,Clemson,grantho01
20,Bob Hansen,SG,6-6,190,January 18 1961,us,8,Iowa,hansebo01
14,Craig Hodges,SG,6-2,190,June 27 1960,us,9,Cal State Long Beach,hodgecr01
2,Dennis Hopson,SG,6-5,200,April 22 1965,us,4,Ohio State,hopsode01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,7,UNC,jordami01
21,Stacey King,PF,6-11,230,January 29 1967,us,2,Oklahoma,kingst01
53,Cliff Levingston,PF,6-8,210,January 4 1961,us,9,Wichita State,levincl01
25,Chuck Nevitt,C,7-5,217,June 13 1959,us,7,NC State,nevitch01
5,John Paxson,PG,6-2,185,September 29 1960,us,8,Notre Dame,paxsojo01
32,Will Perdue,C,7-0,240,August 29 1965,us,3,Vanderbilt,perduwi01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,4,University of Central Arkansas,pippesc01
52,Mark Randall,PF,6-8,235,September 30 1967,us,R,Kansas,randama01
2,Rory Sparrow,PG,6-2,175,June 12 1958,us,11,Villanova,sparrro01
42,Scott Williams,PF,6-10,230,March 21 1968,us,1,UNC,willisc01
10,B.J. Armstrong,PG,6-2,175,September 9 1967,us,1,Iowa,armstbj01
24,Bill Cartwright,C,7-1,245,July 30 1957,us,10,San Francisco,cartwbi01
54,Horace Grant,PF,6-10,215,July 4 1965,us,3,Clemson,grantho01
14,Craig Hodges,SG,6-2,190,June 27 1960,us,8,Cal State Long Beach,hodgecr01
2,Dennis Hopson,SF,6-5,200,April 22 1965,us,3,Ohio State,hopsode01
23,Michael Jordan,SG,6-6,198,February 17 1963,us,6,UNC,jordami01
34,Stacey King,PF,6-11,230,January 29 1967,us,1,Oklahoma,kingst01
53,Cliff Levingston,PF,6-8,210,January 4 1961,us,8,Wichita State,levincl01
5,John Paxson,PG,6-2,185,September 29 1960,us,7,Notre Dame,paxsojo01
32,Will Perdue,C,7-0,240,August 29 1965,us,2,Vanderbilt,perduwi01
33,Scottie Pippen,SF,6-8,210,September 25 1965,us,3,University of Central Arkansas,pippesc01
42,Scott Williams,PF,6-10,230,March 21 1968,us,R,UNC,willisc01
23,Mark Aguirre,SF,6-6,232,December 10 1959,us,8,DePaul,aguirma01
20,William Bedford,C,7-0,225,December 14 1963,us,2,Memphis,bedfowi01
4,Joe Dumars,SG,6-3,190,May 24 1963,us,4,McNeese State University,dumarjo01
53,James Edwards,C,7-0,225,November 22 1955,us,12,Washington,edwarja01
33,Dave Greenwood,PF,6-9,222,May 27 1957,us,10,UCLA,greenda01
35,Scott Hastings,PF,6-10,235,June 3 1960,us,7,Arkansas,hastisc01
12,Gerald Henderson,PG,6-2,175,January 16 1956,us,10,VCU,hendege01
15,Vinnie Johnson,SG,6-2,200,September 1 1956,us,10,Baylor,johnsvi01
3,Stan Kimbrough,PG,5-11,153,April 24 1966,us,R,Central Florida Xavier,kimbrst01
40,Bill Laimbeer,C,6-11,245,May 19 1957,us,9,Notre Dame,laimbbi01
35,Ralph Lewis,SG,6-6,200,March 28 1963,us,2,La Salle,lewisra01
10,Dennis Rodman,SF,6-7,210,May 13 1961,us,3,Southeastern Oklahoma State University,rodmade01
22,John Salley,PF,6-11,230,May 16 1964,us,3,Georgia Tech,sallejo01
11,Isiah Thomas,PG,6-1,180,April 30 1961,us,8,Indiana,thomais01
23,Mark Aguirre,SF,6-6,232,December 10 1959,us,7,DePaul,aguirma01
45,Adrian Dantley,SF,6-5,208,February 28 1955,us,12,Notre Dame,dantlad01
50,Darryl Dawkins,C,6-11,251,January 11 1957,us,13,,dawkida01
34,Fennis Dembo,SF,6-5,215,January 24 1966,us,R,Wyoming,dembofe01
4,Joe Dumars,SG,6-3,190,May 24 1963,us,3,McNeese State University,dumarjo01
53,James Edwards,C,7-0,225,November 22 1955,us,11,Washington,edwarja01
35,Steve Harris,SG,6-5,195,October 15 1963,us,3,Tulsa,harrist01
15,Vinnie Johnson,SG,6-2,200,September 1 1956,us,9,Baylor,johnsvi01
40,Bill Laimbeer,C,6-11,245,May 19 1957,us,8,Notre Dame,laimbbi01
25,John Long,SG,6-5,195,August 28 1956,us,10,Detroit Mercy,longjo01
44,Rick Mahorn,PF,6-10,240,September 21 1958,us,8,Hampton,mahorri01
12,Pace Mannion,SF,6-7,190,September 22 1960,us,5,Utah,mannipa01
10,Dennis Rodman,SF,6-7,210,May 13 1961,us,2,Southeastern Oklahoma State University,rodmade01
41,Jim Rowinski,PF,6-8,250,January 4 1961,us,R,Purdue,rowinji01
22,John Salley,PF,6-11,230,May 16 1964,us,2,Georgia Tech,sallejo01
11,Isiah Thomas,PG,6-1,180,April 30 1961,us,7,Indiana,thomais01
24,Micheal Williams,PG,6-2,175,July 23 1966,us,R,Baylor,willimi02
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,18,UCLA,abdulka01
19,Tony Campbell,SF,6-7,215,May 7 1962,us,3,Ohio State,campbto01
21,Michael Cooper,SG,6-7,170,April 15 1956,us,9,New Mexico,coopemi01
45,A.C. Green,PF,6-9,220,October 4 1963,us,2,Oregon State,greenac01
32,Magic Johnson,PG,6-9,215,August 14 1959,us,8,Michigan State,johnsma02
3,Jeff Lamp,SF,6-6,195,March 9 1959,us,4,Virginia,lampje01
1,Wes Matthews,PG,6-1,170,August 24 1959,us,7,Wisconsin,matthwe01
31,Kurt Rambis,PF,6-8,213,February 25 1958,us,6,Santa Clara,rambiku01
4,Byron Scott,SG,6-3,195,March 28 1961,us,4,Arizona State,scottby01
52,Mike Smrek,C,7-0,250,August 31 1962,ca,2,Canisius,smrekmi01
55,Billy Thompson,SF,6-7,195,December 1 1963,us,1,Louisville,thompbi01
43,Mychal Thompson,C,6-10,226,January 30 1955,bs,8,Minnesota,thompmy01
34,Ray Tolbert,PF,6-9,225,September 10 1958,us,3,Indiana,tolbera01
20,Milt Wagner,SG,6-5,185,February 20 1963,us,R,Louisville,wagnemi01
42,James Worthy,SF,6-9,225,February 27 1961,us,5,UNC,worthja01
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,17,UCLA,abdulka01
24,Adrian Branch,SF,6-7,185,November 17 1963,us,R,Maryland,brancad01
43,Frank Brickowski,PF,6-9,240,August 14 1959,us,2,Penn State,brickfr01
21,Michael Cooper,SG,6-7,170,April 15 1956,us,8,New Mexico,coopemi01
45,A.C. Green,PF,6-9,220,October 4 1963,us,1,Oregon State,greenac01
32,Magic Johnson,PG,6-9,215,August 14 1959,us,7,Michigan State,johnsma02
1,Wes Matthews,PG,6-1,170,August 24 1959,us,6,Wisconsin,matthwe01
31,Kurt Rambis,PF,6-8,213,February 25 1958,us,5,Santa Clara,rambiku01
4,Byron Scott,SG,6-3,195,March 28 1961,us,3,Arizona State,scottby01
52,Mike Smrek,C,7-0,250,August 31 1962,ca,1,Canisius,smrekmi01
55,Billy Thompson,SF,6-7,195,December 1 1963,us,R,Louisville,thompbi01
43,Mychal Thompson,PF,6-10,226,January 30 1955,bs,7,Minnesota,thompmy01
42,James Worthy,SF,6-9,225,February 27 1961,us,4,UNC,worthja01
44,Danny Ainge,SG,6-4,175,March 17 1959,us,4,BYU,aingeda01
33,Larry Bird,SF,6-9,220,December 7 1956,us,6,Indiana State University,birdla01
34,Rick Carlisle,SG,6-5,210,October 27 1959,us,1,University of Maine Virginia,carliri01
3,Dennis Johnson,PG,6-4,185,September 18 1954,us,9,Pepperdine,johnsde01
50,Greg Kite,C,6-11,250,August 5 1961,us,2,BYU,kitegr01
32,Kevin McHale,PF,6-10,210,December 19 1957,us,5,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us,9,Centenary (LA),parisro01
12,Jerry Sichting,PG,6-1,168,November 29 1956,us,5,Purdue,sichtje01
45,David Thirdkill,PF,6-7,195,April 12 1960,us,3,Bradley,thirdda01
11,Sam Vincent,SG,6-2,185,May 18 1963,us,R,Michigan State,vincesa01
5,Bill Walton,C,6-11,210,November 5 1952,us,8,UCLA,waltobi01
8,Scott Wedman,SF,6-7,215,July 29 1952,us,11,Colorado,wedmasc01
35,Sly Williams,SF,6-7,210,January 26 1958,us,6,Rhode Island,willisl01
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,15,UCLA,abdulka01
21,Michael Cooper,SG,6-7,170,April 15 1956,us,6,New Mexico,coopemi01
32,Magic Johnson,PG,6-9,215,August 14 1959,us,5,Michigan State,johnsma02
1,Earl Jones,C,7-0,210,January 13 1961,us,R,University of the District of Columbia,jonesea01
25,Mitch Kupchak,PF,6-9,230,May 24 1954,us,7,UNC,kupchmi01
12,Ronnie Lester,PG,6-2,175,January 1 1959,us,4,Iowa,lestero01
11,Bob McAdoo,C,6-9,210,September 25 1951,us,12,Vincennes University UNC,mcadobo01
40,Mike McGee,SF,6-5,190,July 29 1959,us,3,Michigan,mcgeemi01
43,Chuck Nevitt,C,7-5,217,June 13 1959,us,1,NC State,nevitch01
31,Kurt Rambis,PF,6-8,213,February 25 1958,us,3,Santa Clara,rambiku01
4,Byron Scott,SG,6-3,195,March 28 1961,us,1,Arizona State,scottby01
35,Larry Spriggs,PF,6-7,230,September 8 1959,us,3,Howard University,sprigla01
52,Jamaal Wilkes,SF,6-6,190,May 2 1953,us,10,UCLA,wilkeja01
42,James Worthy,SF,6-9,225,February 27 1961,us,2,UNC,worthja01
44,Danny Ainge,SG,6-4,175,March 17 1959,us,2,BYU,aingeda01
33,Larry Bird,PF,6-9,220,December 7 1956,us,4,Indiana State University,birdla01
28,Quinn Buckner,PG,6-3,190,August 20 1954,us,7,Indiana,bucknqu01
30,M.L. Carr,SF,6-6,205,January 9 1951,us,8,Guilford College,carrml01
40,Carlos Clark,SG,6-4,210,August 10 1960,us,R,Ole Miss,clarkca01
43,Gerald Henderson,PG,6-2,175,January 16 1956,us,4,VCU,hendege01
3,Dennis Johnson,SG,6-4,185,September 18 1954,us,7,Pepperdine,johnsde01
50,Greg Kite,C,6-11,250,August 5 1961,us,R,BYU,kitegr01
31,Cedric Maxwell,SF,6-8,205,November 21 1955,us,6,UNC Charlotte,maxwece01
32,Kevin McHale,PF,6-10,210,December 19 1957,us,3,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us,7,Centenary (LA),parisro01
8,Scott Wedman,SF,6-7,215,July 29 1952,us,9,Colorado,wedmasc01
7,J.J. Anderson,SF,6-8,195,September 23 1960,us,R,Bradley,anderjj01
10,Maurice Cheeks,PG,6-1,180,September 8 1956,us,4,West Texas A&M University,cheekma01
25,Earl Cureton,C,6-9,210,September 3 1957,us,2,Robert Morris University (PA) Detroit Mercy,curetea01
14,Franklin Edwards,PG,6-1,170,February 2 1959,us,1,Cleveland State University,edwarfr01
6,Julius Erving,SF,6-7,210,February 22 1950,us,11,UMass,ervinju01
8,Marc Iavaroni,PF,6-8,210,September 15 1956,us,R,Virginia,iavarma01
45,Clemon Johnson,C,6-10,240,September 12 1956,us,4,Florida A&M,johnscl01
33,Reggie Johnson,SF,6-9,205,June 25 1957,us,2,Tennessee,johnsre01
24,Bobby Jones,PF,6-9,210,December 18 1951,us,8,UNC,jonesbo01
2,Moses Malone,C,6-10,215,March 23 1955,us,8,,malonmo01
31,Mark McNamara,C,6-11,235,June 8 1959,us,R,Santa Clara California,mcnamma01
4,Clint Richardson,SG,6-3,195,August 7 1956,us,3,Seattle University,richacl01
3,Russ Schoene,PF,6-10,210,April 16 1960,us,R,Chattanooga,schoeru01
22,Andrew Toney,SG,6-3,178,November 23 1957,us,2,Louisiana,toneyan01
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,12,UCLA,abdulka01
8,Jim Brewer,PF,6-9,210,December 3 1951,us,8,Minnesota,breweji01
21,Michael Cooper,SG,6-7,170,April 15 1956,us,3,New Mexico,coopemi01
34,Clay Johnson,SG,6-4,175,July 18 1956,us,R,Missouri,johnscl02
32,Magic Johnson,SG,6-9,215,August 14 1959,us,2,Michigan State,johnsma02
5,Eddie Jordan,PG,6-1,170,January 29 1955,us,4,Rutgers University,jordaed01
41,Mitch Kupchak,PF,6-9,230,May 24 1954,us,5,UNC,kupchmi01
54,Mark Landsberger,PF,6-8,215,May 21 1955,us,4,Minnesota Arizona State,landsma01
11,Bob McAdoo,C,6-9,210,September 25 1951,us,9,Vincennes University UNC,mcadobo01
40,Mike McGee,SF,6-5,190,July 29 1959,us,R,Michigan,mcgeemi01
30,Kevin McKenna,SG,6-5,195,January 8 1959,us,R,Creighton,mckenke01
10,Norm Nixon,PG,6-2,170,October 11 1955,us,4,Duquesne,nixonno01
31,Kurt Rambis,PF,6-8,213,February 25 1958,us,R,Santa Clara,rambiku01
52,Jamaal Wilkes,SF,6-6,190,May 2 1953,us,7,UCLA,wilkeja01
7,Tiny Archibald,PG,6-1,150,September 2 1948,us,9,Texas-El Paso,architi01
33,Larry Bird,PF,6-9,220,December 7 1956,us,1,Indiana State University,birdla01
30,M.L. Carr,SF,6-6,205,January 9 1951,us,5,Guilford College,carrml01
40,Terry Duerod,SG,6-2,180,July 29 1956,us,1,Detroit Mercy,duerote01
45,Eric Fernsten,C,6-10,205,November 1 1953,us,3,San Francisco,fernser01
42,Chris Ford,SG,6-5,190,January 11 1949,us,8,Villanova,fordch01
43,Gerald Henderson,PG,6-2,175,January 16 1956,us,1,VCU,hendege01
20,Wayne Kreklow,SG,6-4,175,January 4 1957,us,R,Drake University,kreklwa01
31,Cedric Maxwell,SF,6-8,205,November 21 1955,us,3,UNC Charlotte,maxwece01
32,Kevin McHale,PF,6-10,210,December 19 1957,us,R,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us,4,Centenary (LA),parisro01
53,Rick Robey,C,6-11,230,January 30 1956,us,2,Kentucky,robeyri01
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,10,UCLA,abdulka01
24,Ron Boone,SG,6-2,200,September 6 1946,us,11,Iowa Western Community College Clarinda Campus Idaho State University,boonero01
7,Marty Byrnes,SF,6-7,215,April 30 1956,us,1,Syracuse,byrnema01
7,Kenny Carr,PF,6-7,220,August 15 1955,us,2,NC State,carrke01
9,Jim Chones,C,6-11,220,November 30 1949,us,7,Marquette,choneji01
21,Michael Cooper,SG,6-7,170,April 15 1956,us,1,New Mexico,coopemi01
